11,7,6,12,3,5,8,2,1,10,13,16,14,9,4,15,
10,16,9,2,15,4,14,1,11,5,6,3,7,12,8,13,
14,1,3,5,9,11,13,7,12,8,15,4,16,10,6,2,
13,15,4,8,12,16,6,10,7,9,2,14,11,3,5,1,
3,4,1,15,14,9,16,12,6,2,11,13,5,8,10,7,
9,10,14,11,6,8,7,5,3,15,4,12,1,2,13,16,
5,12,2,16,13,3,10,15,9,7,8,1,6,11,14,4,
7,6,8,13,11,2,1,4,14,16,10,5,9,15,3,12,
6,8,7,10,16,15,2,11,13,14,1,9,4,5,12,3,
4,5,16,1,7,6,9,13,15,12,3,10,2,14,11,8,
2,14,13,9,5,12,3,8,4,11,16,7,15,6,1,10,
15,11,12,3,10,1,4,14,2,6,5,8,13,7,16,9,
1,3,5,6,8,7,11,9,16,13,12,15,10,4,2,14,
8,13,11,7,4,14,5,16,10,3,9,2,12,1,15,6,
12,9,10,4,2,13,15,3,5,1,14,6,8,16,7,11,
16,2,15,14,1,10,12,6,8,4,7,11,3,13,9,5,

